module,function,datetime,provider,level,msg
FlaLD_BepressDC,log,"2021-08-04 09:11:38,906",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1059"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,908",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1060"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,911",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1061"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,913",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1062"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,916",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1063"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,919",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1064"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,922",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1065"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,924",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1066"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,927",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1067"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,929",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1068"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,932",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1069"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,935",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1070"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,937",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1071"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,940",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1072"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,943",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1073"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,946",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1074"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,948",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1075"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,951",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1076"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,954",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1077"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,957",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1078"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,960",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1079"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,962",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1080"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,965",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1081"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,968",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1082"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,971",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1083"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,974",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1084"
FlaLD_BepressDC,log,"2021-08-04 09:11:38,977",Florida International University Libraries,WARNING,"aggregation.preview: 'NoneType' object is not iterable - oai:digitalcommons.fiu.edu:etd-1085"
